Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2020-01,3: Wednesday (W-W),3: Mid-Day (10am-3pm),864,18,25,23.889,0.736,104.87,1.58,6.000,25.000,28.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2020-01,3: Wednesday (W-W),4: Peak PM (3pm-7pm),1410,16,28,23.889,0.661,171.10,3.67,6.000,23.000,27.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2020-01,3: Wednesday (W-W),5: Late PM (7pm-12am),663,17,26,23.889,0.705,80.47,1.41,6.000,24.000,28.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2020-01,4: Thursday (Th-Th),0: All Day (12am-12am),4197,18,25,23.889,0.733,509.38,7.78,6.000,25.000,28.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2020-01,4: Thursday (Th-Th),1: Early AM (12am-6am),84,20,22,23.889,0.818,10.16,0.09,9.000,28.000,31.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2020-01,4: Thursday (Th-Th),2: Peak AM (6am-10am),869,19,23,23.889,0.797,105.51,1.12,7.000,27.000,29.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2020-01,4: Thursday (Th-Th),3: Mid-Day (10am-3pm),1037,18,24,23.889,0.752,125.82,1.74,6.000,26.000,28.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2020-01,4: Thursday (Th-Th),4: Peak PM (3pm-7pm),1513,17,26,23.889,0.697,183.56,3.35,7.000,24.000,27.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2020-01,4: Thursday (Th-Th),5: Late PM (7pm-12am),695,17,26,23.889,0.692,84.34,1.57,5.000,24.000,27.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2020-01,5: Friday (F-F),0: All Day (12am-12am),4387,17,25,23.889,0.717,532.34,8.78,6.000,25.000,28.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2020-01,5: Friday (F-F),1: Early AM (12am-6am),122,18,24,23.889,0.752,14.80,0.20,5.000,29.000,31.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2020-01,5: Friday (F-F),2: Peak AM (6am-10am),873,19,23,23.889,0.796,105.91,1.14,7.000,26.000,29.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2020-01,5: Friday (F-F),3: Mid-Day (10am-3pm),1110,17,25,23.889,0.719,134.70,2.20,6.000,25.000,28.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2020-01,5: Friday (F-F),4: Peak PM (3pm-7pm),1490,16,27,23.889,0.690,180.81,3.40,7.000,24.000,27.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2020-01,5: Friday (F-F),5: Late PM (7pm-12am),792,16,27,23.889,0.674,96.13,1.95,5.000,23.000,27.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2020-01,6: Saturday (Sa-Sa),0: All Day (12am-12am),2708,17,26,23.889,0.697,328.65,5.97,6.000,24.000,27.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2020-01,6: Saturday (Sa-Sa),1: Early AM (12am-6am),187,19,23,23.889,0.787,22.73,0.26,6.000,27.000,29.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2020-01,6: Saturday (Sa-Sa),2: Peak AM (6am-10am),187,18,25,23.889,0.737,22.74,0.34,5.000,26.000,30.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2020-01,6: Saturday (Sa-Sa),3: Mid-Day (10am-3pm),851,17,26,23.889,0.714,103.31,1.74,6.000,24.000,27.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2020-01,6: Saturday (Sa-Sa),4: Peak PM (3pm-7pm),865,16,27,23.889,0.683,104.96,2.04,6.000,24.000,27.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2020-01,6: Saturday (Sa-Sa),5: Late PM (7pm-12am),617,16,28,23.889,0.657,74.90,1.64,5.000,23.000,26.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2020-01,7: Sunday (Su-Su),0: All Day (12am-12am),1972,17,26,23.889,0.712,239.27,4.06,5.000,25.000,28.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2020-01,7: Sunday (Su-Su),1: Early AM (12am-6am),208,18,24,23.889,0.752,25.26,0.35,5.000,26.000,31.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2020-01,7: Sunday (Su-Su),2: Peak AM (6am-10am),125,19,24,23.889,0.777,15.17,0.18,7.000,28.000,31.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2020-01,7: Sunday (Su-Su),3: Mid-Day (10am-3pm),659,17,25,23.889,0.728,79.98,1.25,5.000,25.000,28.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2020-01,7: Sunday (Su-Su),4: Peak PM (3pm-7pm),610,17,26,23.889,0.691,74.04,1.39,5.000,24.000,27.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2020-01,7: Sunday (Su-Su),5: Late PM (7pm-12am),369,16,27,23.889,0.672,44.82,0.92,5.000,24.000,27.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 2,0.128,yes,208,yes,2020-01,0: All Days (M-Su),0: All Day (12am-12am),3526,19,24,22.094,0.868,450.29,3.10,7.000,25.000,28.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 2,0.128,yes,208,yes,2020-01,0: All Days (M-Su),1: Early AM (12am-6am),141,19,24,22.094,0.877,17.97,0.11,8.000,26.000,29.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 2,0.128,yes,208,yes,2020-01,0: All Days (M-Su),2: Peak AM (6am-10am),649,20,23,22.094,0.893,82.87,0.45,8.000,26.000,29.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 2,0.128,yes,208,yes,2020-01,0: All Days (M-Su),3: Mid-Day (10am-3pm),898,20,23,22.094,0.913,114.70,0.49,8.000,26.000,28.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 2,0.128,yes,208,yes,2020-01,0: All Days (M-Su),4: Peak PM (3pm-7pm),1232,18,25,22.094,0.834,157.30,1.42,7.000,24.000,27.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 2,0.128,yes,208,yes,2020-01,0: All Days (M-Su),5: Late PM (7pm-12am),607,19,25,22.094,0.842,77.45,0.66,7.000,24.000,27.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 2,0.128,yes,208,yes,2020-01,1: Monday (M-M),0: All Day (12am-12am),3016,19,24,22.094,0.882,385.17,2.34,8.000,25.000,28.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 2,0.128,yes,208,yes,2020-01,1: Monday (M-M),1: Early AM (12am-6am),98,18,25,22.094,0.825,12.56,0.12,4.000,27.000,32.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 2,0.128,yes,208,yes,2020-01,1: Monday (M-M),2: Peak AM (6am-10am),696,19,24,22.094,0.874,88.94,0.58,8.000,25.000,29.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 2,0.128,yes,208,yes,2020-01,1: Monday (M-M),3: Mid-Day (10am-3pm),690,20,22,22.094,0.927,88.14,0.31,8.000,26.000,29.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 2,0.128,yes,208,yes,2020-01,1: Monday (M-M),4: Peak PM (3pm-7pm),1098,19,24,22.094,0.871,140.21,0.94,8.000,25.000,27.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 2,0.128,yes,208,yes,2020-01,1: Monday (M-M),5: Late PM (7pm-12am),433,19,24,22.094,0.859,55.33,0.41,7.000,24.000,27.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 2,0.128,yes,208,yes,2020-01,2: Tuesday (Tu-Tu),0: All Day (12am-12am),3992,19,24,22.094,0.879,509.72,3.18,7.000,25.000,28.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 2,0.128,yes,208,yes,2020-01,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),82,18,25,22.094,0.830,10.41,0.10,6.000,26.000,27.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 2,0.128,yes,208,yes,2020-01,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),937,20,23,22.094,0.910,119.68,0.54,9.000,26.000,28.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 2,0.128,yes,208,yes,2020-01,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),858,21,22,22.094,0.946,109.53,0.28,9.000,26.000,29.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 2,0.128,yes,208,yes,2020-01,2: Tuesday (Tu-Tu),4: Peak PM (3pm-7pm),1539,19,25,22.094,0.842,196.55,1.66,6.000,24.000,27.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 2,0.128,yes,208,yes,2020-01,2: Tuesday (Tu-Tu),5: Late PM (7pm-12am),576,18,25,22.094,0.832,73.55,0.67,7.000,24.000,26.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 2,0.128,yes,208,yes,2020-01,3: Wednesday (W-W),0: All Day (12am-12am),3730,19,24,22.094,0.868,476.35,3.27,8.000,25.000,28.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 2,0.128,yes,208,yes,2020-01,3: Wednesday (W-W),1: Early AM (12am-6am),186,19,24,22.094,0.856,23.75,0.18,8.000,26.000,30.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 2,0.128,yes,208,yes,2020-01,3: Wednesday (W-W),2: Peak AM (6am-10am),725,20,23,22.094,0.907,92.53,0.43,8.000,26.000,29.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 2,0.128,yes,208,yes,2020-01,3: Wednesday (W-W),3: Mid-Day (10am-3pm),847,20,23,22.094,0.904,108.11,0.52,9.000,25.000,28.000
"Jan 01, 2020 - Dec 31, 2020",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 2,0.128,yes,208,yes,2020-01,3: Wednesday (W-W),4: Peak PM (3pm-7pm),1341,18,25,22.094,0.820,171.19,1.70,7.000,24.000,27.000
