Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2022-01,3: Wednesday (W-W),3: Mid-Day (10am-3pm),712,18,25,20.753,0.849,86.42,0.74,7.000,23.000,27.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2022-01,3: Wednesday (W-W),4: Peak PM (3pm-7pm),781,16,27,20.753,0.771,94.78,1.36,7.000,22.000,25.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2022-01,3: Wednesday (W-W),5: Late PM (7pm-12am),442,17,26,20.753,0.811,53.65,0.60,7.000,22.000,24.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2022-01,4: Thursday (Th-Th),0: All Day (12am-12am),2655,17,26,20.753,0.820,322.23,3.40,7.000,23.000,27.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2022-01,4: Thursday (Th-Th),1: Early AM (12am-6am),82,19,23,20.753,0.923,9.97,0.04,4.000,23.000,27.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2022-01,4: Thursday (Th-Th),2: Peak AM (6am-10am),521,18,24,20.753,0.872,63.25,0.45,8.000,24.000,30.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2022-01,4: Thursday (Th-Th),3: Mid-Day (10am-3pm),679,18,24,20.753,0.863,82.36,0.63,8.000,23.000,27.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2022-01,4: Thursday (Th-Th),4: Peak PM (3pm-7pm),901,16,27,20.753,0.767,109.38,1.60,7.000,21.000,26.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2022-01,4: Thursday (Th-Th),5: Late PM (7pm-12am),472,16,27,20.753,0.784,57.26,0.76,7.000,22.000,24.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2022-01,5: Friday (F-F),0: All Day (12am-12am),2806,17,26,20.753,0.804,340.59,4.00,7.000,22.000,26.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2022-01,5: Friday (F-F),1: Early AM (12am-6am),106,18,24,20.753,0.875,12.82,0.09,7.000,23.000,26.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2022-01,5: Friday (F-F),2: Peak AM (6am-10am),472,18,25,20.753,0.854,57.30,0.47,7.000,24.000,30.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2022-01,5: Friday (F-F),3: Mid-Day (10am-3pm),665,17,25,20.753,0.835,80.72,0.77,8.000,22.000,27.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2022-01,5: Friday (F-F),4: Peak PM (3pm-7pm),978,16,28,20.753,0.754,118.66,1.87,7.000,21.000,25.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2022-01,5: Friday (F-F),5: Late PM (7pm-12am),586,17,26,20.753,0.800,71.08,0.85,6.000,22.000,25.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2022-01,6: Saturday (Sa-Sa),0: All Day (12am-12am),1158,17,26,20.753,0.822,140.59,1.47,7.000,22.000,26.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2022-01,6: Saturday (Sa-Sa),1: Early AM (12am-6am),93,19,23,20.753,0.897,11.26,0.06,7.000,24.000,28.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2022-01,6: Saturday (Sa-Sa),2: Peak AM (6am-10am),105,18,24,20.753,0.877,12.71,0.09,8.000,24.000,29.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2022-01,6: Saturday (Sa-Sa),3: Mid-Day (10am-3pm),350,17,25,20.753,0.826,42.53,0.43,7.000,22.000,26.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2022-01,6: Saturday (Sa-Sa),4: Peak PM (3pm-7pm),349,17,26,20.753,0.805,42.36,0.49,7.000,22.000,25.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2022-01,6: Saturday (Sa-Sa),5: Late PM (7pm-12am),262,16,27,20.753,0.789,31.74,0.41,5.000,22.000,25.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Reno Street / 13346923 / 1,0.121,yes,208,yes,2022-01,7: Sunday (Su-Su),0: All Day (12am-12am),1046,17,25,20.753,0.836,126.91,1.20,7.000,23.000,26.000
