Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,75th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2022-01,3: Wednesday (W-W),2: Peak AM (6am-10am),172,17,12,19.961,0.854,9.85,0.08,12.000,19.000,21.000,24.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2022-01,3: Wednesday (W-W),3: Mid-Day (10am-3pm),422,16,13,19.961,0.824,24.20,0.26,10.000,19.000,20.000,25.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2022-01,3: Wednesday (W-W),4: Peak PM (3pm-7pm),584,16,13,19.961,0.818,33.48,0.37,10.000,19.000,20.000,23.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2022-01,3: Wednesday (W-W),5: Late PM (7pm-12am),186,16,13,19.961,0.823,10.65,0.12,10.000,19.000,20.000,23.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2022-01,4: Thursday (Th-Th),0: All Day (12am-12am),1582,16,13,19.961,0.819,90.65,1.00,10.000,19.000,20.000,23.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2022-01,4: Thursday (Th-Th),1: Early AM (12am-6am),19,19,11,19.961,0.943,1.09,0.00,N/A,N/A,N/A,N/A
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2022-01,4: Thursday (Th-Th),2: Peak AM (6am-10am),207,17,12,19.961,0.872,11.88,0.09,11.000,20.000,22.000,26.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2022-01,4: Thursday (Th-Th),3: Mid-Day (10am-3pm),483,16,13,19.961,0.817,27.68,0.31,9.000,19.000,20.000,24.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2022-01,4: Thursday (Th-Th),4: Peak PM (3pm-7pm),654,16,13,19.961,0.792,37.46,0.49,10.000,18.000,19.000,22.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2022-01,4: Thursday (Th-Th),5: Late PM (7pm-12am),219,17,12,19.961,0.844,12.54,0.12,9.000,19.000,20.000,24.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2022-01,5: Friday (F-F),0: All Day (12am-12am),1668,16,13,19.961,0.824,95.57,1.02,10.000,19.000,20.000,23.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2022-01,5: Friday (F-F),1: Early AM (12am-6am),14,16,13,19.961,0.802,0.80,0.01,N/A,N/A,N/A,N/A
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2022-01,5: Friday (F-F),2: Peak AM (6am-10am),178,18,12,19.961,0.879,10.22,0.07,10.000,19.000,20.000,25.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2022-01,5: Friday (F-F),3: Mid-Day (10am-3pm),512,16,13,19.961,0.819,29.35,0.32,10.000,19.000,20.000,22.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2022-01,5: Friday (F-F),4: Peak PM (3pm-7pm),698,16,13,19.961,0.800,40.00,0.50,10.000,18.000,19.000,23.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2022-01,5: Friday (F-F),5: Late PM (7pm-12am),265,17,12,19.961,0.860,15.22,0.12,11.000,19.000,20.000,24.000
