Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,15th Speed Percentile,50th Speed Percentile,75th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2019-06,3: Wednesday (W-W),1: Early AM (12am-6am),14,14,16,18.330,0.739,0.84,0.02,N/A,N/A,N/A,N/A,N/A,N/A
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2019-06,3: Wednesday (W-W),2: Peak AM (6am-10am),194,15,14,18.330,0.841,11.51,0.12,8.000,13.000,16.000,17.000,18.000,21.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2019-06,3: Wednesday (W-W),3: Mid-Day (10am-3pm),498,14,15,18.330,0.774,29.62,0.47,6.000,11.000,14.000,17.000,18.000,20.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2019-06,3: Wednesday (W-W),4: Peak PM (3pm-7pm),1301,14,16,18.330,0.751,77.36,1.40,9.000,11.000,14.000,15.000,17.000,18.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2019-06,3: Wednesday (W-W),5: Late PM (7pm-12am),411,14,15,18.330,0.759,24.43,0.42,8.000,10.000,14.000,16.000,17.000,19.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2019-06,4: Thursday (Th-Th),0: All Day (12am-12am),2415,14,15,18.330,0.775,143.62,2.28,9.000,11.000,14.000,16.000,18.000,20.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2019-06,4: Thursday (Th-Th),1: Early AM (12am-6am),33,14,15,18.330,0.771,1.97,0.03,N/A,N/A,N/A,N/A,N/A,N/A
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2019-06,4: Thursday (Th-Th),2: Peak AM (6am-10am),246,16,14,18.330,0.846,14.60,0.15,8.000,11.000,16.000,18.000,19.000,22.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2019-06,4: Thursday (Th-Th),3: Mid-Day (10am-3pm),569,14,15,18.330,0.789,33.84,0.49,8.000,11.000,15.000,17.000,18.000,20.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2019-06,4: Thursday (Th-Th),4: Peak PM (3pm-7pm),1192,14,15,18.330,0.754,70.90,1.26,10.000,11.000,14.000,15.000,16.000,19.000
