Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume)
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-01,4: Thursday (Th-Th),0: All Day (12am-12am),5019,23,47,25.300,0.919,1513.16,5.28
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-01,4: Thursday (Th-Th),1: Early AM (12am-6am),324,24,44,25.300,0.966,97.58,0.14
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-01,4: Thursday (Th-Th),2: Peak AM (6am-10am),1020,23,47,25.300,0.915,307.44,1.13
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-01,4: Thursday (Th-Th),3: Mid-Day (10am-3pm),1223,23,46,25.300,0.926,368.58,1.17
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-01,4: Thursday (Th-Th),4: Peak PM (3pm-7pm),1609,23,48,25.300,0.900,485.03,2.13
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-01,4: Thursday (Th-Th),5: Late PM (7pm-12am),844,24,46,25.300,0.932,254.54,0.73
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-01,5: Friday (F-F),0: All Day (12am-12am),5428,23,47,25.300,0.915,1636.39,6.02
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-01,5: Friday (F-F),1: Early AM (12am-6am),299,25,44,25.300,0.985,90.04,0.05
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-01,5: Friday (F-F),2: Peak AM (6am-10am),998,23,46,25.300,0.924,300.88,0.98
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-01,5: Friday (F-F),3: Mid-Day (10am-3pm),1353,23,47,25.300,0.917,407.82,1.46
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-01,5: Friday (F-F),4: Peak PM (3pm-7pm),1767,23,48,25.300,0.892,532.67,2.56
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-01,5: Friday (F-F),5: Late PM (7pm-12am),1012,23,46,25.300,0.923,304.97,1.00
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-01,6: Saturday (Sa-Sa),0: All Day (12am-12am),4504,23,46,25.300,0.925,1357.78,4.35
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-01,6: Saturday (Sa-Sa),1: Early AM (12am-6am),307,25,43,25.300,0.994,92.64,0.02
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-01,6: Saturday (Sa-Sa),2: Peak AM (6am-10am),546,24,46,25.300,0.940,164.61,0.41
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-01,6: Saturday (Sa-Sa),3: Mid-Day (10am-3pm),1405,23,47,25.300,0.914,423.44,1.58
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-01,6: Saturday (Sa-Sa),4: Peak PM (3pm-7pm),1312,23,47,25.300,0.915,395.47,1.46
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-01,6: Saturday (Sa-Sa),5: Late PM (7pm-12am),934,23,46,25.300,0.925,281.61,0.90
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-01,7: Sunday (Su-Su),0: All Day (12am-12am),3799,24,46,25.300,0.930,1145.30,3.43
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-01,7: Sunday (Su-Su),1: Early AM (12am-6am),291,25,44,25.300,0.971,87.62,0.10
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-01,7: Sunday (Su-Su),2: Peak AM (6am-10am),435,24,45,25.300,0.944,131.15,0.31
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-01,7: Sunday (Su-Su),3: Mid-Day (10am-3pm),1303,23,46,25.300,0.924,392.79,1.27
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-01,7: Sunday (Su-Su),4: Peak PM (3pm-7pm),1048,23,47,25.300,0.918,315.89,1.12
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-01,7: Sunday (Su-Su),5: Late PM (7pm-12am),723,24,46,25.300,0.932,217.85,0.63
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-02,0: All Days (M-Su),0: All Day (12am-12am),4835,23,47,25.541,0.904,1457.65,6.04
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-02,0: All Days (M-Su),1: Early AM (12am-6am),304,25,44,25.541,0.963,91.78,0.14
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-02,0: All Days (M-Su),2: Peak AM (6am-10am),976,23,47,25.541,0.904,294.27,1.23
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-02,0: All Days (M-Su),3: Mid-Day (10am-3pm),1295,23,47,25.541,0.902,390.40,1.66
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-02,0: All Days (M-Su),4: Peak PM (3pm-7pm),1430,23,48,25.541,0.891,430.98,2.07
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-02,0: All Days (M-Su),5: Late PM (7pm-12am),830,23,47,25.541,0.911,250.22,0.96
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-02,1: Monday (M-M),0: All Day (12am-12am),4533,23,47,25.541,0.901,1366.76,5.88
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-02,1: Monday (M-M),1: Early AM (12am-6am),349,24,44,25.541,0.959,105.34,0.18
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-02,1: Monday (M-M),2: Peak AM (6am-10am),954,23,47,25.541,0.899,287.58,1.27
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-02,1: Monday (M-M),3: Mid-Day (10am-3pm),1179,23,47,25.541,0.901,355.46,1.52
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-02,1: Monday (M-M),4: Peak PM (3pm-7pm),1351,23,48,25.541,0.885,407.38,2.07
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-02,1: Monday (M-M),5: Late PM (7pm-12am),700,23,47,25.541,0.905,211.02,0.87
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-02,2: Tuesday (Tu-Tu),0: All Day (12am-12am),5006,23,47,25.541,0.896,1509.14,6.85
