Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,75th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jan 01, 2021 - Nov 30, 2021",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2021-01,3: Wednesday (W-W),4: Peak PM (3pm-7pm),386,16,13,23.912,0.674,22.14,0.45,10.000,18.000,19.000,24.000
"Jan 01, 2021 - Nov 30, 2021",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2021-01,3: Wednesday (W-W),5: Late PM (7pm-12am),114,17,12,23.912,0.701,6.54,0.12,8.000,19.000,20.000,22.000
"Jan 01, 2021 - Nov 30, 2021",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2021-01,4: Thursday (Th-Th),0: All Day (12am-12am),1159,16,13,23.912,0.652,66.43,1.49,8.000,18.000,19.000,22.000
"Jan 01, 2021 - Nov 30, 2021",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2021-01,4: Thursday (Th-Th),1: Early AM (12am-6am),17,16,13,23.912,0.655,0.98,0.02,N/A,N/A,N/A,N/A
"Jan 01, 2021 - Nov 30, 2021",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2021-01,4: Thursday (Th-Th),2: Peak AM (6am-10am),90,16,13,23.912,0.661,5.17,0.11,10.000,18.000,19.000,22.000
"Jan 01, 2021 - Nov 30, 2021",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2021-01,4: Thursday (Th-Th),3: Mid-Day (10am-3pm),422,15,13,23.912,0.643,24.19,0.56,9.000,18.000,19.000,21.000
"Jan 01, 2021 - Nov 30, 2021",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2021-01,4: Thursday (Th-Th),4: Peak PM (3pm-7pm),497,15,13,23.912,0.645,28.48,0.66,7.000,19.000,19.000,22.000
"Jan 01, 2021 - Nov 30, 2021",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2021-01,4: Thursday (Th-Th),5: Late PM (7pm-12am),133,17,12,23.912,0.698,7.61,0.14,9.000,20.000,22.000,24.000
"Jan 01, 2021 - Nov 30, 2021",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2021-01,5: Friday (F-F),0: All Day (12am-12am),1123,16,13,23.912,0.681,64.38,1.26,9.000,19.000,20.000,24.000
"Jan 01, 2021 - Nov 30, 2021",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2021-01,5: Friday (F-F),1: Early AM (12am-6am),20,17,12,23.912,0.694,1.17,0.02,N/A,N/A,N/A,N/A
"Jan 01, 2021 - Nov 30, 2021",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2021-01,5: Friday (F-F),2: Peak AM (6am-10am),65,16,13,23.912,0.672,3.75,0.08,8.000,19.000,21.000,27.000
"Jan 01, 2021 - Nov 30, 2021",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2021-01,5: Friday (F-F),3: Mid-Day (10am-3pm),423,16,13,23.912,0.672,24.27,0.49,9.000,19.000,20.000,24.000
"Jan 01, 2021 - Nov 30, 2021",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2021-01,5: Friday (F-F),4: Peak PM (3pm-7pm),474,16,13,23.912,0.679,27.16,0.54,10.000,19.000,20.000,23.000
"Jan 01, 2021 - Nov 30, 2021",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2021-01,5: Friday (F-F),5: Late PM (7pm-12am),140,17,12,23.912,0.713,8.04,0.14,7.000,20.000,21.000,28.000
"Jan 01, 2021 - Nov 30, 2021",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2021-01,6: Saturday (Sa-Sa),0: All Day (12am-12am),979,16,13,23.912,0.678,56.13,1.12,10.000,19.000,20.000,22.000
"Jan 01, 2021 - Nov 30, 2021",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2021-01,6: Saturday (Sa-Sa),1: Early AM (12am-6am),14,17,12,23.912,0.696,0.78,0.01,N/A,N/A,N/A,N/A
"Jan 01, 2021 - Nov 30, 2021",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2021-01,6: Saturday (Sa-Sa),2: Peak AM (6am-10am),52,18,12,23.912,0.745,2.98,0.04,13.000,20.000,21.000,26.000
"Jan 01, 2021 - Nov 30, 2021",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2021-01,6: Saturday (Sa-Sa),3: Mid-Day (10am-3pm),394,16,13,23.912,0.680,22.59,0.45,10.000,19.000,20.000,22.000
"Jan 01, 2021 - Nov 30, 2021",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2021-01,6: Saturday (Sa-Sa),4: Peak PM (3pm-7pm),410,16,13,23.912,0.660,23.50,0.51,10.000,18.000,19.000,22.000
"Jan 01, 2021 - Nov 30, 2021",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 7,0.057,yes,270,yes,2021-01,6: Saturday (Sa-Sa),5: Late PM (7pm-12am),110,17,12,23.912,0.700,6.28,0.11,10.000,19.000,20.000,23.000
