Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,15th Speed Percentile,50th Speed Percentile,75th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2022-06,3: Wednesday (W-W),1: Early AM (12am-6am),21,15,14,18.360,0.828,1.23,0.01,12.000,13.000,15.000,17.000,20.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2022-06,3: Wednesday (W-W),2: Peak AM (6am-10am),307,12,17,18.360,0.679,18.24,0.47,7.000,8.000,12.000,15.000,15.000,19.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2022-06,3: Wednesday (W-W),3: Mid-Day (10am-3pm),349,14,16,18.360,0.737,20.74,0.40,8.000,10.000,14.000,15.000,16.000,20.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2022-06,3: Wednesday (W-W),4: Peak PM (3pm-7pm),466,13,16,18.360,0.716,27.70,0.60,8.000,10.000,13.000,15.000,16.000,19.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2022-06,3: Wednesday (W-W),5: Late PM (7pm-12am),209,15,15,18.360,0.792,12.45,0.18,9.000,11.000,14.000,16.000,17.000,21.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2022-06,4: Thursday (Th-Th),0: All Day (12am-12am),1314,14,16,18.360,0.750,78.14,1.42,8.000,11.000,14.000,15.000,17.000,20.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2022-06,4: Thursday (Th-Th),1: Early AM (12am-6am),21,15,15,18.360,0.797,1.27,0.02,10.000,12.000,14.000,21.000,22.000,25.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2022-06,4: Thursday (Th-Th),2: Peak AM (6am-10am),200,14,16,18.360,0.750,11.86,0.22,8.000,10.000,14.000,15.000,17.000,21.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2022-06,4: Thursday (Th-Th),3: Mid-Day (10am-3pm),400,14,16,18.360,0.747,23.78,0.44,9.000,11.000,14.000,15.000,17.000,20.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2022-06,4: Thursday (Th-Th),4: Peak PM (3pm-7pm),507,14,16,18.360,0.748,30.15,0.55,8.000,11.000,14.000,15.000,17.000,20.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2022-06,4: Thursday (Th-Th),5: Late PM (7pm-12am),186,14,15,18.360,0.755,11.08,0.20,8.000,10.000,14.000,15.000,17.000,21.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2022-06,5: Friday (F-F),0: All Day (12am-12am),1797,14,16,18.360,0.749,106.87,1.95,9.000,11.000,14.000,15.000,17.000,20.000
