Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2022-06,3: Wednesday (W-W),2: Peak AM (6am-10am),118,18,10,22.125,0.830,5.94,0.05,12.000,14.000,23.000,26.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2022-06,3: Wednesday (W-W),3: Mid-Day (10am-3pm),171,19,10,22.125,0.841,8.59,0.07,11.000,14.000,24.000,28.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2022-06,3: Wednesday (W-W),4: Peak PM (3pm-7pm),177,19,10,22.125,0.844,8.91,0.07,11.000,14.000,23.000,29.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2022-06,3: Wednesday (W-W),5: Late PM (7pm-12am),132,18,10,22.125,0.813,6.66,0.07,9.000,14.000,21.000,26.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2022-06,4: Thursday (Th-Th),0: All Day (12am-12am),621,18,10,22.125,0.816,31.23,0.32,10.000,14.000,22.000,25.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2022-06,4: Thursday (Th-Th),1: Early AM (12am-6am),21,19,10,22.125,0.854,1.03,0.01,14.000,15.000,24.000,33.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2022-06,4: Thursday (Th-Th),2: Peak AM (6am-10am),128,19,10,22.125,0.846,6.43,0.05,12.000,14.000,23.000,26.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2022-06,4: Thursday (Th-Th),3: Mid-Day (10am-3pm),196,18,10,22.125,0.799,9.85,0.11,7.000,14.000,22.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2022-06,4: Thursday (Th-Th),4: Peak PM (3pm-7pm),183,18,10,22.125,0.836,9.22,0.08,12.000,14.000,23.000,25.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2022-06,4: Thursday (Th-Th),5: Late PM (7pm-12am),93,17,11,22.125,0.765,4.68,0.07,10.000,14.000,20.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2022-06,5: Friday (F-F),0: All Day (12am-12am),804,18,10,22.125,0.826,40.44,0.39,9.000,14.000,23.000,27.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2022-06,5: Friday (F-F),1: Early AM (12am-6am),16,16,12,22.125,0.704,0.79,0.01,N/A,N/A,N/A,N/A
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2022-06,5: Friday (F-F),2: Peak AM (6am-10am),139,18,10,22.125,0.816,6.97,0.07,8.000,14.000,22.000,26.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2022-06,5: Friday (F-F),3: Mid-Day (10am-3pm),261,19,10,22.125,0.856,13.11,0.10,10.000,14.000,24.000,30.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2022-06,5: Friday (F-F),4: Peak PM (3pm-7pm),217,19,10,22.125,0.838,10.91,0.10,9.000,14.000,23.000,27.000
