Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2019-01,3: Wednesday (W-W),5: Late PM (7pm-12am),109,15,10,21.127,0.691,4.54,0.10,N/A,N/A,N/A
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2019-01,4: Thursday (Th-Th),0: All Day (12am-12am),616,14,10,21.127,0.683,25.56,0.56,5.000,20.000,23.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2019-01,4: Thursday (Th-Th),1: Early AM (12am-6am),23,N/A,N/A,N/A,N/A,0.97,N/A,N/A,N/A,N/A
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2019-01,4: Thursday (Th-Th),2: Peak AM (6am-10am),148,15,10,21.127,0.693,6.12,0.13,4.000,21.000,27.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2019-01,4: Thursday (Th-Th),3: Mid-Day (10am-3pm),219,14,11,21.127,0.650,9.10,0.23,7.000,19.000,23.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2019-01,4: Thursday (Th-Th),4: Peak PM (3pm-7pm),135,15,10,21.127,0.711,5.59,0.11,13.000,21.000,23.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2019-01,4: Thursday (Th-Th),5: Late PM (7pm-12am),91,15,10,21.127,0.701,3.78,0.08,N/A,N/A,N/A
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2019-01,5: Friday (F-F),0: All Day (12am-12am),613,15,10,21.127,0.718,25.43,0.47,4.000,20.000,21.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2019-01,5: Friday (F-F),1: Early AM (12am-6am),53,13,11,21.127,0.634,2.21,0.06,N/A,N/A,N/A
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2019-01,5: Friday (F-F),2: Peak AM (6am-10am),92,13,11,21.127,0.637,3.81,0.10,N/A,N/A,N/A
