Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2021-01,3: Wednesday (W-W),5: Late PM (7pm-12am),123,13,11,19.889,0.663,5.11,0.13,3.000,18.000,19.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2021-01,4: Thursday (Th-Th),0: All Day (12am-12am),658,13,11,19.889,0.673,27.27,0.67,4.000,17.000,20.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2021-01,4: Thursday (Th-Th),1: Early AM (12am-6am),17,14,10,19.889,0.715,0.71,0.01,N/A,N/A,N/A
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2021-01,4: Thursday (Th-Th),2: Peak AM (6am-10am),74,13,12,19.889,0.643,3.07,0.09,4.000,18.000,21.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2021-01,4: Thursday (Th-Th),3: Mid-Day (10am-3pm),267,13,11,19.889,0.664,11.09,0.28,4.000,17.000,19.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2021-01,4: Thursday (Th-Th),4: Peak PM (3pm-7pm),207,13,11,19.889,0.678,8.60,0.21,5.000,17.000,19.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2021-01,4: Thursday (Th-Th),5: Late PM (7pm-12am),92,14,11,19.889,0.707,3.80,0.08,6.000,18.000,24.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2021-01,5: Friday (F-F),0: All Day (12am-12am),596,13,11,19.889,0.670,24.73,0.61,4.000,17.000,20.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2021-01,5: Friday (F-F),1: Early AM (12am-6am),36,17,9,19.889,0.847,1.47,0.01,13.000,19.000,19.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2021-01,5: Friday (F-F),2: Peak AM (6am-10am),87,14,11,19.889,0.691,3.60,0.08,4.000,18.000,20.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2021-01,5: Friday (F-F),3: Mid-Day (10am-3pm),202,13,11,19.889,0.656,8.37,0.22,5.000,17.000,20.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2021-01,5: Friday (F-F),4: Peak PM (3pm-7pm),181,13,12,19.889,0.648,7.52,0.21,5.000,17.000,19.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2021-01,5: Friday (F-F),5: Late PM (7pm-12am),91,13,11,19.889,0.659,3.77,0.10,4.000,17.000,20.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2021-01,6: Saturday (Sa-Sa),0: All Day (12am-12am),483,14,11,19.889,0.684,20.05,0.47,5.000,18.000,21.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2021-01,6: Saturday (Sa-Sa),1: Early AM (12am-6am),25,16,10,19.889,0.783,1.03,0.01,N/A,N/A,N/A
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2021-01,6: Saturday (Sa-Sa),2: Peak AM (6am-10am),45,14,11,19.889,0.711,1.87,0.04,4.000,19.000,26.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2021-01,6: Saturday (Sa-Sa),3: Mid-Day (10am-3pm),170,13,11,19.889,0.670,7.06,0.17,5.000,18.000,21.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2021-01,6: Saturday (Sa-Sa),4: Peak PM (3pm-7pm),139,14,11,19.889,0.682,5.75,0.13,5.000,17.000,21.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2021-01,6: Saturday (Sa-Sa),5: Late PM (7pm-12am),104,13,11,19.889,0.675,4.33,0.11,4.000,18.000,20.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2021-01,7: Sunday (Su-Su),0: All Day (12am-12am),382,14,11,19.889,0.684,15.86,0.37,5.000,17.000,20.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2021-01,7: Sunday (Su-Su),1: Early AM (12am-6am),27,14,11,19.889,0.681,1.11,0.03,N/A,N/A,N/A
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2021-01,7: Sunday (Su-Su),2: Peak AM (6am-10am),34,13,11,19.889,0.678,1.42,0.03,4.000,18.000,20.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2021-01,7: Sunday (Su-Su),3: Mid-Day (10am-3pm),131,13,11,19.889,0.663,5.42,0.14,5.000,17.000,20.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2021-01,7: Sunday (Su-Su),4: Peak PM (3pm-7pm),125,14,11,19.889,0.700,5.20,0.11,6.000,17.000,20.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2021-01,7: Sunday (Su-Su),5: Late PM (7pm-12am),65,14,11,19.889,0.700,2.71,0.06,4.000,19.000,22.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2021-02,0: All Days (M-Su),0: All Day (12am-12am),624,14,11,17.091,0.797,25.90,0.39,5.000,17.000,20.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2021-02,0: All Days (M-Su),1: Early AM (12am-6am),20,14,11,17.091,0.819,0.84,0.01,5.000,17.000,20.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2021-02,0: All Days (M-Su),2: Peak AM (6am-10am),79,14,11,17.091,0.792,3.29,0.05,5.000,18.000,22.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2021-02,0: All Days (M-Su),3: Mid-Day (10am-3pm),219,13,11,17.091,0.787,9.09,0.14,5.000,17.000,20.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2021-02,0: All Days (M-Su),4: Peak PM (3pm-7pm),201,14,11,17.091,0.796,8.34,0.13,5.000,17.000,20.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2021-02,0: All Days (M-Su),5: Late PM (7pm-12am),104,14,11,17.091,0.821,4.33,0.06,7.000,18.000,20.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2021-02,1: Monday (M-M),0: All Day (12am-12am),642,13,11,17.091,0.770,26.64,0.46,4.000,17.000,19.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,Baird,0.041,yes,270,yes,2021-02,1: Monday (M-M),1: Early AM (12am-6am),21,13,11,17.091,0.789,0.85,0.01,N/A,N/A,N/A
