Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,North Neptune Avenue / 1282320,0.201,yes,356,yes,2021-06,3: Wednesday (W-W),2: Peak AM (6am-10am),76,22,33,26.250,0.824,15.22,0.12,10.000,14.000,27.000,31.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,North Neptune Avenue / 1282320,0.201,yes,356,yes,2021-06,3: Wednesday (W-W),3: Mid-Day (10am-3pm),194,21,34,26.250,0.816,39.05,0.34,10.000,14.000,28.000,33.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,North Neptune Avenue / 1282320,0.201,yes,356,yes,2021-06,3: Wednesday (W-W),4: Peak PM (3pm-7pm),155,21,34,26.250,0.799,31.13,0.30,11.000,14.000,26.000,29.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,North Neptune Avenue / 1282320,0.201,yes,356,yes,2021-06,3: Wednesday (W-W),5: Late PM (7pm-12am),84,20,36,26.250,0.761,16.94,0.20,7.000,11.000,25.000,27.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,North Neptune Avenue / 1282320,0.201,yes,356,yes,2021-06,4: Thursday (Th-Th),0: All Day (12am-12am),502,21,35,26.250,0.789,100.72,1.03,9.000,13.000,26.000,30.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,North Neptune Avenue / 1282320,0.201,yes,356,yes,2021-06,4: Thursday (Th-Th),1: Early AM (12am-6am),21,24,31,26.250,0.901,4.17,0.02,N/A,N/A,N/A,N/A
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,North Neptune Avenue / 1282320,0.201,yes,356,yes,2021-06,4: Thursday (Th-Th),2: Peak AM (6am-10am),69,20,36,26.250,0.757,13.90,0.17,8.000,12.000,25.000,28.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,North Neptune Avenue / 1282320,0.201,yes,356,yes,2021-06,4: Thursday (Th-Th),3: Mid-Day (10am-3pm),122,21,35,26.250,0.797,24.56,0.24,9.000,12.000,28.000,32.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,North Neptune Avenue / 1282320,0.201,yes,356,yes,2021-06,4: Thursday (Th-Th),4: Peak PM (3pm-7pm),190,21,35,26.250,0.792,38.07,0.38,10.000,14.000,27.000,30.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,North Neptune Avenue / 1282320,0.201,yes,356,yes,2021-06,4: Thursday (Th-Th),5: Late PM (7pm-12am),100,20,36,26.250,0.774,20.03,0.22,11.000,14.000,24.000,28.000
