Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,South Westgate Avenue / 136915189 / 1,0.089,yes,144,yes,2022-06,2: Friday (F-F),2: Peak AM (6am-10am),369,14,23,20.171,0.692,33.01,0.73,6,20,23
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,South Westgate Avenue / 136915189 / 1,0.089,yes,144,yes,2022-06,2: Friday (F-F),3: Mid-Day (10am-3pm),738,16,20,20.171,0.799,66.01,0.82,12,20,22
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,South Westgate Avenue / 136915189 / 1,0.089,yes,144,yes,2022-06,2: Friday (F-F),4: Peak PM (3pm-7pm),879,16,20,20.171,0.792,78.7,1.03,12,20,22
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,South Westgate Avenue / 136915189 / 1,0.089,yes,144,yes,2022-06,2: Friday (F-F),5: Late PM (7pm-12am),464,17,19,20.171,0.825,41.52,0.44,13,21,22
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,South Westgate Avenue / 136915189 / 1,0.089,yes,144,yes,2022-06,3: Weekend (Sa-Su),1: Early AM (12am-6am),118,16,20,20.171,0.798,10.54,0.13,8,22,26
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,South Westgate Avenue / 136915189 / 1,0.089,yes,144,yes,2022-06,3: Weekend (Sa-Su),2: Peak AM (6am-10am),147,17,19,20.171,0.832,13.12,0.13,13,20,24
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,South Westgate Avenue / 136915189 / 1,0.089,yes,144,yes,2022-06,3: Weekend (Sa-Su),3: Mid-Day (10am-3pm),562,17,19,20.171,0.839,50.3,0.48,14,21,23
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,South Westgate Avenue / 136915189 / 1,0.089,yes,144,yes,2022-06,3: Weekend (Sa-Su),4: Peak PM (3pm-7pm),468,16,20,20.171,0.799,41.85,0.52,12,20,23
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,South Westgate Avenue / 136915189 / 1,0.089,yes,144,yes,2022-06,3: Weekend (Sa-Su),5: Late PM (7pm-12am),344,16,20,20.171,0.818,30.79,0.34,12,21,23
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Texas Avenue / 13380340 / 5,0.066,yes,235,yes,2022-06,1: Weekday (M-Th),1: Early AM (12am-6am),37,16,15,19.338,0.846,2.44,0.02,12,23,26
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Texas Avenue / 13380340 / 5,0.066,yes,235,yes,2022-06,1: Weekday (M-Th),2: Peak AM (6am-10am),334,14,16,19.338,0.749,22.06,0.38,8,20,25
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Texas Avenue / 13380340 / 5,0.066,yes,235,yes,2022-06,1: Weekday (M-Th),3: Mid-Day (10am-3pm),669,16,15,19.338,0.803,44.19,0.56,10,21,25
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Texas Avenue / 13380340 / 5,0.066,yes,235,yes,2022-06,1: Weekday (M-Th),4: Peak PM (3pm-7pm),718,15,16,19.338,0.792,47.48,0.64,10,20,23
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Texas Avenue / 13380340 / 5,0.066,yes,235,yes,2022-06,1: Weekday (M-Th),5: Late PM (7pm-12am),347,16,15,19.338,0.814,22.92,0.27,10,21,25
