Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 2,0.124,yes,90,yes,2019-01,0: All Days (M-Su),3: Mid-Day (10am-3pm),172,16,27,23.915,0.682,21.35,0.42,6.000,21.000,25.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 2,0.124,yes,90,yes,2019-01,0: All Days (M-Su),4: Peak PM (3pm-7pm),153,16,28,23.915,0.661,19.01,0.41,7.000,22.000,27.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 2,0.124,yes,90,yes,2019-01,0: All Days (M-Su),5: Late PM (7pm-12am),106,14,31,23.915,0.595,13.19,0.38,6.000,18.000,22.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 2,0.124,yes,90,yes,2019-01,1: Weekday (M-Th),0: All Day (12am-12am),654,16,28,23.915,0.660,81.29,1.75,6.000,21.000,25.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 2,0.124,yes,90,yes,2019-01,1: Weekday (M-Th),1: Early AM (12am-6am),43,16,28,23.915,0.664,5.40,0.11,N/A,N/A,N/A
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 2,0.124,yes,90,yes,2019-01,1: Weekday (M-Th),2: Peak AM (6am-10am),162,16,28,23.915,0.676,20.14,0.40,5.000,20.000,21.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 2,0.124,yes,90,yes,2019-01,1: Weekday (M-Th),3: Mid-Day (10am-3pm),182,16,27,23.915,0.681,22.66,0.44,8.000,21.000,24.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 2,0.124,yes,90,yes,2019-01,1: Weekday (M-Th),4: Peak PM (3pm-7pm),150,16,28,23.915,0.663,18.70,0.40,10.000,25.000,27.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 2,0.124,yes,90,yes,2019-01,1: Weekday (M-Th),5: Late PM (7pm-12am),116,14,31,23.915,0.601,14.39,0.40,6.000,18.000,25.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 2,0.124,yes,90,yes,2019-01,2: Weekend (Sa-Su),0: All Day (12am-12am),228,15,30,23.915,0.614,28.34,0.74,6.000,20.000,22.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 2,0.124,yes,90,yes,2019-01,2: Weekend (Sa-Su),1: Early AM (12am-6am),35,15,30,23.915,0.628,4.31,0.11,N/A,N/A,N/A
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 2,0.124,yes,90,yes,2019-01,2: Weekend (Sa-Su),2: Peak AM (6am-10am),22,16,28,23.915,0.670,2.77,0.06,N/A,N/A,N/A
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 2,0.124,yes,90,yes,2019-01,2: Weekend (Sa-Su),3: Mid-Day (10am-3pm),47,14,31,23.915,0.599,5.85,0.16,N/A,N/A,N/A
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 2,0.124,yes,90,yes,2019-01,2: Weekend (Sa-Su),4: Peak PM (3pm-7pm),50,14,31,23.915,0.601,6.16,0.17,7.000,15.000,15.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 2,0.124,yes,90,yes,2019-01,2: Weekend (Sa-Su),5: Late PM (7pm-12am),74,15,31,23.915,0.610,9.24,0.25,7.000,21.000,22.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 1,0.126,yes,90,yes,2019-02,0: All Days (M-Su),0: All Day (12am-12am),376,15,30,21.285,0.704,47.44,0.94,3.000,21.000,27.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 1,0.126,yes,90,yes,2019-02,0: All Days (M-Su),1: Early AM (12am-6am),27,14,33,21.285,0.642,3.38,0.09,4.000,37.000,37.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 1,0.126,yes,90,yes,2019-02,0: All Days (M-Su),2: Peak AM (6am-10am),112,16,28,21.285,0.758,14.09,0.21,3.000,23.000,27.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 1,0.126,yes,90,yes,2019-02,0: All Days (M-Su),3: Mid-Day (10am-3pm),69,15,31,21.285,0.686,8.66,0.19,3.000,20.000,24.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 1,0.126,yes,90,yes,2019-02,0: All Days (M-Su),4: Peak PM (3pm-7pm),96,15,31,21.285,0.697,12.16,0.25,3.000,20.000,27.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 1,0.126,yes,90,yes,2019-02,0: All Days (M-Su),5: Late PM (7pm-12am),73,14,31,21.285,0.678,9.14,0.20,4.000,19.000,23.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 1,0.126,yes,90,yes,2019-02,1: Weekday (M-Th),0: All Day (12am-12am),437,16,29,21.285,0.739,55.12,0.92,3.000,23.000,27.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 1,0.126,yes,90,yes,2019-02,1: Weekday (M-Th),1: Early AM (12am-6am),31,14,32,21.285,0.671,3.92,0.09,N/A,N/A,N/A
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 1,0.126,yes,90,yes,2019-02,1: Weekday (M-Th),2: Peak AM (6am-10am),158,17,27,21.285,0.794,19.88,0.24,4.000,23.000,27.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 1,0.126,yes,90,yes,2019-02,1: Weekday (M-Th),3: Mid-Day (10am-3pm),74,17,27,21.285,0.787,9.34,0.12,1.000,18.000,51.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 1,0.126,yes,90,yes,2019-02,1: Weekday (M-Th),4: Peak PM (3pm-7pm),104,14,31,21.285,0.679,13.14,0.29,2.000,20.000,33.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 1,0.126,yes,90,yes,2019-02,1: Weekday (M-Th),5: Late PM (7pm-12am),70,15,31,21.285,0.684,8.84,0.19,3.000,20.000,27.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 1,0.126,yes,90,yes,2019-02,2: Weekend (Sa-Su),0: All Day (12am-12am),188,14,33,21.285,0.639,23.68,0.63,3.000,19.000,22.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 1,0.126,yes,90,yes,2019-02,2: Weekend (Sa-Su),1: Early AM (12am-6am),24,13,36,21.285,0.596,3.05,0.10,N/A,N/A,N/A
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 1,0.126,yes,90,yes,2019-02,2: Weekend (Sa-Su),2: Peak AM (6am-10am),17,13,35,21.285,0.613,2.19,0.07,N/A,N/A,N/A
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 1,0.126,yes,90,yes,2019-02,2: Weekend (Sa-Su),3: Mid-Day (10am-3pm),54,12,37,21.285,0.579,6.77,0.23,4.000,21.000,22.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 1,0.126,yes,90,yes,2019-02,2: Weekend (Sa-Su),4: Peak PM (3pm-7pm),35,15,30,21.285,0.710,4.38,0.08,N/A,N/A,N/A
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 1,0.126,yes,90,yes,2019-02,2: Weekend (Sa-Su),5: Late PM (7pm-12am),58,14,32,21.285,0.677,7.30,0.16,3.000,18.000,23.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 2,0.124,yes,90,yes,2019-02,0: All Days (M-Su),0: All Day (12am-12am),278,15,30,20.130,0.753,34.52,0.56,6.000,22.000,23.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 2,0.124,yes,90,yes,2019-02,0: All Days (M-Su),1: Early AM (12am-6am),18,12,39,20.130,0.577,2.27,0.08,N/A,N/A,N/A
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 2,0.124,yes,90,yes,2019-02,0: All Days (M-Su),2: Peak AM (6am-10am),69,16,27,20.130,0.810,8.58,0.10,6.000,23.000,24.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 2,0.124,yes,90,yes,2019-02,0: All Days (M-Su),3: Mid-Day (10am-3pm),56,14,31,20.130,0.715,7.01,0.14,4.000,20.000,21.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 2,0.124,yes,90,yes,2019-02,0: All Days (M-Su),4: Peak PM (3pm-7pm),83,16,28,20.130,0.793,10.26,0.13,7.000,22.000,23.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 2,0.124,yes,90,yes,2019-02,0: All Days (M-Su),5: Late PM (7pm-12am),51,15,30,20.130,0.743,6.40,0.11,7.000,21.000,23.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 2,0.124,yes,90,yes,2019-02,1: Weekday (M-Th),0: All Day (12am-12am),328,16,28,20.130,0.785,40.81,0.55,8.000,23.000,24.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 2,0.124,yes,90,yes,2019-02,1: Weekday (M-Th),1: Early AM (12am-6am),21,11,40,20.130,0.561,2.65,0.10,N/A,N/A,N/A
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 2,0.124,yes,90,yes,2019-02,1: Weekday (M-Th),2: Peak AM (6am-10am),99,17,26,20.130,0.848,12.28,0.11,6.000,24.000,24.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 2,0.124,yes,90,yes,2019-02,1: Weekday (M-Th),3: Mid-Day (10am-3pm),64,16,28,20.130,0.803,7.96,0.10,12.000,13.000,13.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 2,0.124,yes,90,yes,2019-02,1: Weekday (M-Th),4: Peak PM (3pm-7pm),91,16,29,20.130,0.772,11.28,0.17,12.000,18.000,22.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 2,0.124,yes,90,yes,2019-02,1: Weekday (M-Th),5: Late PM (7pm-12am),53,15,29,20.130,0.760,6.64,0.10,13.000,20.000,23.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 2,0.124,yes,90,yes,2019-02,2: Weekend (Sa-Su),0: All Day (12am-12am),118,13,34,20.130,0.661,14.64,0.37,4.000,19.000,23.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 2,0.124,yes,90,yes,2019-02,2: Weekend (Sa-Su),1: Early AM (12am-6am),16,12,37,20.130,0.606,1.99,0.06,N/A,N/A,N/A
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 2,0.124,yes,90,yes,2019-02,2: Weekend (Sa-Su),2: Peak AM (6am-10am),12,13,35,20.130,0.628,1.49,0.04,N/A,N/A,N/A
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 2,0.124,yes,90,yes,2019-02,2: Weekend (Sa-Su),3: Mid-Day (10am-3pm),32,12,38,20.130,0.589,3.97,0.14,N/A,N/A,N/A
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 2,0.124,yes,90,yes,2019-02,2: Weekend (Sa-Su),4: Peak PM (3pm-7pm),22,14,31,20.130,0.715,2.73,0.05,N/A,N/A,N/A
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 2,0.124,yes,90,yes,2019-02,2: Weekend (Sa-Su),5: Late PM (7pm-12am),36,15,31,20.130,0.727,4.47,0.08,N/A,N/A,N/A
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 1,0.126,yes,90,yes,2019-03,0: All Days (M-Su),0: All Day (12am-12am),402,16,29,34.749,0.452,50.67,1.77,3.000,22.000,27.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 1,0.126,yes,90,yes,2019-03,0: All Days (M-Su),1: Early AM (12am-6am),21,15,29,34.749,0.445,2.67,0.10,1.000,16.000,26.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 1,0.126,yes,90,yes,2019-03,0: All Days (M-Su),2: Peak AM (6am-10am),101,16,28,34.749,0.464,12.73,0.42,2.000,22.000,24.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 1,0.126,yes,90,yes,2019-03,0: All Days (M-Su),3: Mid-Day (10am-3pm),86,16,29,34.749,0.453,10.79,0.37,3.000,23.000,29.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 1,0.126,yes,90,yes,2019-03,0: All Days (M-Su),4: Peak PM (3pm-7pm),103,16,28,34.749,0.463,13.03,0.43,3.000,23.000,28.000
"Jan 01, 2019 - Dec 31, 2019",All Vehicles - StL All Vehicles Volume,N/A,East 77th Street / 165899762 / 1,0.126,yes,90,yes,2019-03,0: All Days (M-Su),5: Late PM (7pm-12am),91,15,31,34.749,0.428,11.43,0.44,3.000,20.000,28.000
