Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume)
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-01,4: Thursday (Th-Th),0: All Day (12am-12am),5579,29,38,31.421,0.915,1682.14,4.95
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-01,4: Thursday (Th-Th),1: Early AM (12am-6am),364,30,36,31.421,0.959,109.63,0.15
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-01,4: Thursday (Th-Th),2: Peak AM (6am-10am),1111,29,37,31.421,0.937,335.01,0.72
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-01,4: Thursday (Th-Th),3: Mid-Day (10am-3pm),1419,29,38,31.421,0.912,427.93,1.32
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-01,4: Thursday (Th-Th),4: Peak PM (3pm-7pm),1745,28,39,31.421,0.896,526.03,1.94
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-01,4: Thursday (Th-Th),5: Late PM (7pm-12am),940,29,38,31.421,0.913,283.53,0.86
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-01,5: Friday (F-F),0: All Day (12am-12am),5768,29,38,31.421,0.915,1738.85,5.14
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-01,5: Friday (F-F),1: Early AM (12am-6am),321,30,36,31.421,0.951,96.85,0.16
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-01,5: Friday (F-F),2: Peak AM (6am-10am),1079,30,37,31.421,0.941,325.25,0.65
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-01,5: Friday (F-F),3: Mid-Day (10am-3pm),1606,29,38,31.421,0.914,484.13,1.45
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-01,5: Friday (F-F),4: Peak PM (3pm-7pm),1801,28,38,31.421,0.904,543.02,1.84
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-01,5: Friday (F-F),5: Late PM (7pm-12am),961,28,39,31.421,0.897,289.61,1.06
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-01,6: Saturday (Sa-Sa),0: All Day (12am-12am),3211,29,38,31.421,0.910,968.18,3.04
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-01,6: Saturday (Sa-Sa),1: Early AM (12am-6am),205,30,37,31.421,0.940,61.85,0.13
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-01,6: Saturday (Sa-Sa),2: Peak AM (6am-10am),389,29,37,31.421,0.939,117.20,0.24
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-01,6: Saturday (Sa-Sa),3: Mid-Day (10am-3pm),1068,29,38,31.421,0.913,322.09,0.97
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-01,6: Saturday (Sa-Sa),4: Peak PM (3pm-7pm),932,28,39,31.421,0.888,281.03,1.13
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-01,6: Saturday (Sa-Sa),5: Late PM (7pm-12am),617,29,38,31.421,0.911,186.01,0.58
