Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-01,4: Thursday (Th-Th),2: Peak AM (6am-10am),1018,19,23.099,0.816,10.000,23.000,28.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-01,4: Thursday (Th-Th),3: Mid-Day (10am-3pm),1214,19,23.099,0.813,10.000,23.000,28.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-01,4: Thursday (Th-Th),4: Peak PM (3pm-7pm),1614,17,23.099,0.746,9.000,22.000,25.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-01,4: Thursday (Th-Th),5: Late PM (7pm-12am),853,19,23.099,0.816,11.000,24.000,30.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-01,5: Friday (F-F),0: All Day (12am-12am),5431,18,23.099,0.798,10.000,23.000,28.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-01,5: Friday (F-F),1: Early AM (12am-6am),304,21,23.099,0.913,11.000,28.000,35.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-01,5: Friday (F-F),2: Peak AM (6am-10am),1005,19,23.099,0.831,11.000,24.000,29.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-01,5: Friday (F-F),3: Mid-Day (10am-3pm),1336,19,23.099,0.814,11.000,23.000,28.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-01,5: Friday (F-F),4: Peak PM (3pm-7pm),1752,17,23.099,0.739,10.000,22.000,25.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-01,5: Friday (F-F),5: Late PM (7pm-12am),1034,19,23.099,0.813,11.000,24.000,29.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-01,6: Saturday (Sa-Sa),0: All Day (12am-12am),4585,19,23.099,0.831,11.000,24.000,28.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-01,6: Saturday (Sa-Sa),1: Early AM (12am-6am),311,21,23.099,0.890,12.000,27.000,32.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-01,6: Saturday (Sa-Sa),2: Peak AM (6am-10am),564,20,23.099,0.866,12.000,24.000,30.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-01,6: Saturday (Sa-Sa),3: Mid-Day (10am-3pm),1431,19,23.099,0.830,11.000,24.000,28.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-01,6: Saturday (Sa-Sa),4: Peak PM (3pm-7pm),1319,18,23.099,0.798,11.000,23.000,27.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-01,6: Saturday (Sa-Sa),5: Late PM (7pm-12am),960,19,23.099,0.837,11.000,24.000,29.000
