Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-04,3: Wednesday (W-W),4: Peak PM (3pm-7pm),256,14,10,20.693,0.674,9.79,0.23,7.000,10.000,19.000,21.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-04,3: Wednesday (W-W),5: Late PM (7pm-12am),175,13,10,20.693,0.645,6.71,0.18,5.000,8.000,18.000,22.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-04,4: Thursday (Th-Th),0: All Day (12am-12am),717,14,10,20.693,0.665,27.44,0.67,6.000,9.000,19.000,21.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-04,4: Thursday (Th-Th),1: Early AM (12am-6am),28,13,11,20.693,0.621,1.07,0.03,N/A,N/A,N/A,N/A
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-04,4: Thursday (Th-Th),2: Peak AM (6am-10am),115,15,9,20.693,0.712,4.41,0.09,9.000,11.000,20.000,22.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-04,4: Thursday (Th-Th),3: Mid-Day (10am-3pm),130,14,10,20.693,0.669,4.99,0.12,5.000,9.000,18.000,20.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-04,4: Thursday (Th-Th),4: Peak PM (3pm-7pm),241,14,10,20.693,0.658,9.22,0.23,6.000,9.000,18.000,20.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-04,4: Thursday (Th-Th),5: Late PM (7pm-12am),202,13,10,20.693,0.652,7.75,0.20,3.000,7.000,19.000,22.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-04,5: Friday (F-F),0: All Day (12am-12am),827,14,10,20.693,0.671,31.67,0.75,5.000,9.000,19.000,21.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-04,5: Friday (F-F),1: Early AM (12am-6am),34,15,9,20.693,0.727,1.30,0.02,6.000,9.000,21.000,23.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-04,5: Friday (F-F),2: Peak AM (6am-10am),122,15,9,20.693,0.726,4.69,0.09,6.000,10.000,19.000,22.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-04,5: Friday (F-F),3: Mid-Day (10am-3pm),169,15,9,20.693,0.735,6.48,0.11,8.000,11.000,19.000,22.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-04,5: Friday (F-F),4: Peak PM (3pm-7pm),276,14,10,20.693,0.669,10.56,0.25,6.000,10.000,18.000,21.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-04,5: Friday (F-F),5: Late PM (7pm-12am),226,12,11,20.693,0.588,8.64,0.29,3.000,7.000,17.000,20.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-04,6: Saturday (Sa-Sa),0: All Day (12am-12am),565,14,10,20.693,0.672,21.63,0.51,5.000,9.000,19.000,22.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-04,6: Saturday (Sa-Sa),1: Early AM (12am-6am),55,14,10,20.693,0.664,2.12,0.05,4.000,8.000,19.000,21.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-04,6: Saturday (Sa-Sa),2: Peak AM (6am-10am),65,15,9,20.693,0.737,2.48,0.04,8.000,10.000,20.000,22.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-04,6: Saturday (Sa-Sa),3: Mid-Day (10am-3pm),158,14,10,20.693,0.683,6.04,0.14,4.000,9.000,19.000,22.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-04,6: Saturday (Sa-Sa),4: Peak PM (3pm-7pm),157,14,10,20.693,0.659,6.01,0.15,5.000,9.000,18.000,22.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-04,6: Saturday (Sa-Sa),5: Late PM (7pm-12am),130,13,10,20.693,0.647,4.99,0.13,5.000,9.000,18.000,22.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-04,7: Sunday (Su-Su),0: All Day (12am-12am),484,14,10,20.693,0.678,18.54,0.42,4.000,8.000,19.000,22.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-04,7: Sunday (Su-Su),1: Early AM (12am-6am),59,14,10,20.693,0.663,2.26,0.06,3.000,6.000,21.000,22.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-04,7: Sunday (Su-Su),2: Peak AM (6am-10am),52,14,10,20.693,0.690,1.99,0.04,2.000,9.000,19.000,22.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-04,7: Sunday (Su-Su),3: Mid-Day (10am-3pm),117,14,10,20.693,0.664,4.46,0.11,4.000,8.000,19.000,22.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-04,7: Sunday (Su-Su),4: Peak PM (3pm-7pm),133,14,10,20.693,0.671,5.08,0.12,6.000,9.000,18.000,21.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-04,7: Sunday (Su-Su),5: Late PM (7pm-12am),124,15,9,20.693,0.701,4.75,0.10,6.000,9.000,20.000,22.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-05,0: All Days (M-Su),0: All Day (12am-12am),589,14,10,19.473,0.718,22.53,0.46,5.000,9.000,19.000,22.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-05,0: All Days (M-Su),1: Early AM (12am-6am),42,14,10,19.473,0.741,1.59,0.03,5.000,9.000,20.000,23.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-05,0: All Days (M-Su),2: Peak AM (6am-10am),85,15,9,19.473,0.748,3.27,0.06,4.000,9.000,20.000,22.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-05,0: All Days (M-Su),3: Mid-Day (10am-3pm),129,14,10,19.473,0.736,4.95,0.09,5.000,10.000,19.000,22.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-05,0: All Days (M-Su),4: Peak PM (3pm-7pm),183,14,10,19.473,0.713,7.01,0.14,6.000,9.000,18.000,21.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-05,0: All Days (M-Su),5: Late PM (7pm-12am),149,13,10,19.473,0.684,5.72,0.14,5.000,8.000,18.000,21.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-05,1: Monday (M-M),0: All Day (12am-12am),524,14,10,19.473,0.723,20.07,0.40,6.000,9.000,19.000,22.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-05,1: Monday (M-M),1: Early AM (12am-6am),34,15,9,19.473,0.793,1.28,0.02,4.000,7.000,17.000,26.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-05,1: Monday (M-M),2: Peak AM (6am-10am),75,15,9,19.473,0.745,2.86,0.05,5.000,9.000,20.000,22.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-05,1: Monday (M-M),3: Mid-Day (10am-3pm),115,15,9,19.473,0.758,4.39,0.07,7.000,10.000,19.000,22.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-05,1: Monday (M-M),4: Peak PM (3pm-7pm),170,14,10,19.473,0.713,6.50,0.13,8.000,10.000,18.000,21.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-05,1: Monday (M-M),5: Late PM (7pm-12am),132,13,11,19.473,0.673,5.04,0.13,4.000,9.000,18.000,22.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-05,2: Tuesday (Tu-Tu),0: All Day (12am-12am),528,14,10,19.473,0.729,20.21,0.39,5.000,9.000,19.000,22.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-05,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),29,14,10,19.473,0.710,1.13,0.02,9.000,10.000,20.000,21.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-05,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),93,15,9,19.473,0.759,3.56,0.06,4.000,11.000,19.000,21.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-05,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),110,15,9,19.473,0.749,4.20,0.07,4.000,9.000,21.000,24.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-05,2: Tuesday (Tu-Tu),4: Peak PM (3pm-7pm),187,14,10,19.473,0.734,7.15,0.13,7.000,10.000,19.000,21.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-05,2: Tuesday (Tu-Tu),5: Late PM (7pm-12am),109,13,10,19.473,0.680,4.17,0.10,5.000,8.000,18.000,21.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-05,3: Wednesday (W-W),0: All Day (12am-12am),661,14,10,19.473,0.726,25.31,0.49,5.000,9.000,19.000,22.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-05,3: Wednesday (W-W),1: Early AM (12am-6am),32,13,10,19.473,0.688,1.24,0.03,N/A,N/A,N/A,N/A
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-05,3: Wednesday (W-W),2: Peak AM (6am-10am),125,15,9,19.473,0.756,4.79,0.08,4.000,10.000,20.000,22.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-05,3: Wednesday (W-W),3: Mid-Day (10am-3pm),113,14,10,19.473,0.743,4.33,0.08,5.000,9.000,20.000,22.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-05,3: Wednesday (W-W),4: Peak PM (3pm-7pm),219,14,10,19.473,0.725,8.38,0.16,6.000,9.000,18.000,22.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-05,3: Wednesday (W-W),5: Late PM (7pm-12am),171,14,10,19.473,0.702,6.56,0.14,5.000,8.000,18.000,22.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-05,4: Thursday (Th-Th),0: All Day (12am-12am),664,14,10,19.473,0.700,25.43,0.56,5.000,9.000,18.000,22.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-05,4: Thursday (Th-Th),1: Early AM (12am-6am),39,14,10,19.473,0.728,1.50,0.03,5.000,7.000,21.000,31.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-05,4: Thursday (Th-Th),2: Peak AM (6am-10am),111,15,9,19.473,0.745,4.23,0.07,5.000,9.000,19.000,22.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-05,4: Thursday (Th-Th),3: Mid-Day (10am-3pm),144,14,10,19.473,0.712,5.53,0.11,3.000,8.000,19.000,22.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-05,4: Thursday (Th-Th),4: Peak PM (3pm-7pm),219,13,10,19.473,0.693,8.38,0.19,6.000,9.000,18.000,21.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-05,4: Thursday (Th-Th),5: Late PM (7pm-12am),151,13,11,19.473,0.659,5.79,0.15,4.000,9.000,18.000,20.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-05,5: Friday (F-F),0: All Day (12am-12am),789,14,10,19.473,0.711,30.19,0.63,5.000,9.000,19.000,22.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-05,5: Friday (F-F),1: Early AM (12am-6am),67,15,9,19.473,0.750,2.57,0.04,4.000,10.000,21.000,23.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-05,5: Friday (F-F),2: Peak AM (6am-10am),117,13,10,19.473,0.689,4.50,0.10,4.000,7.000,19.000,21.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-05,5: Friday (F-F),3: Mid-Day (10am-3pm),152,15,9,19.473,0.752,5.83,0.10,8.000,10.000,19.000,22.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-05,5: Friday (F-F),4: Peak PM (3pm-7pm),241,14,10,19.473,0.699,9.22,0.20,6.000,9.000,18.000,21.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-05,5: Friday (F-F),5: Late PM (7pm-12am),211,14,10,19.473,0.695,8.07,0.18,5.000,8.000,18.000,21.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-05,6: Saturday (Sa-Sa),0: All Day (12am-12am),576,14,10,19.473,0.725,22.03,0.43,5.000,9.000,19.000,22.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-05,6: Saturday (Sa-Sa),1: Early AM (12am-6am),48,15,9,19.473,0.761,1.82,0.03,6.000,9.000,20.000,23.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-05,6: Saturday (Sa-Sa),2: Peak AM (6am-10am),55,16,9,19.473,0.815,2.11,0.02,4.000,11.000,20.000,23.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-05,6: Saturday (Sa-Sa),3: Mid-Day (10am-3pm),151,14,10,19.473,0.729,5.78,0.11,6.000,9.000,19.000,23.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-05,6: Saturday (Sa-Sa),4: Peak PM (3pm-7pm),146,14,10,19.473,0.704,5.59,0.12,4.000,8.000,18.000,21.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-05,6: Saturday (Sa-Sa),5: Late PM (7pm-12am),176,14,10,19.473,0.700,6.73,0.15,5.000,8.000,18.000,21.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-05,7: Sunday (Su-Su),0: All Day (12am-12am),445,14,10,19.473,0.711,17.04,0.36,5.000,9.000,18.000,22.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-05,7: Sunday (Su-Su),1: Early AM (12am-6am),46,14,10,19.473,0.732,1.74,0.03,4.000,9.000,19.000,23.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-05,7: Sunday (Su-Su),2: Peak AM (6am-10am),35,15,9,19.473,0.759,1.32,0.02,5.000,11.000,21.000,24.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-05,7: Sunday (Su-Su),3: Mid-Day (10am-3pm),129,14,10,19.473,0.719,4.93,0.10,5.000,10.000,18.000,21.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-05,7: Sunday (Su-Su),4: Peak PM (3pm-7pm),118,14,10,19.473,0.721,4.53,0.09,6.000,9.000,18.000,22.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-05,7: Sunday (Su-Su),5: Late PM (7pm-12am),118,13,11,19.473,0.670,4.51,0.11,4.000,8.000,17.000,20.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-06,0: All Days (M-Su),0: All Day (12am-12am),574,14,10,21.400,0.647,21.96,0.56,5.000,9.000,19.000,22.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-06,0: All Days (M-Su),1: Early AM (12am-6am),38,14,10,21.400,0.642,1.44,0.04,4.000,9.000,20.000,23.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-06,0: All Days (M-Su),2: Peak AM (6am-10am),81,15,9,21.400,0.692,3.11,0.06,5.000,9.000,21.000,24.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),142,14,10,21.400,0.668,5.42,0.13,5.000,9.000,20.000,22.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),167,14,10,21.400,0.642,6.40,0.17,6.000,9.000,18.000,21.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-06,0: All Days (M-Su),5: Late PM (7pm-12am),146,13,11,21.400,0.609,5.59,0.17,4.000,8.000,18.000,21.000
"Apr 01, 2022 - Mar 31, 2023",All Vehicles - StL All Vehicles Volume,N/A,hubort,0.038,yes,180,yes,2022-06,1: Monday (M-M),0: All Day (12am-12am),611,14,10,21.400,0.631,23.37,0.64,4.000,8.000,18.000,21.000
