Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Fingerprint1,Fingerprint2
N/A,South Saint Andrew's Place,yes,180,yes,0,529894753675406
N/A,South Saint Andrew's Place (1),yes,180,yes,0,529894753671308
N/A,West 29th Street,yes,270,yes,0,529896901157002
N/A,West 29th Street (1),yes,270,yes,0,529894753673354
