Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,5: Friday (F-F),0: All Day (12am-12am),979,17,25.393,0.663
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,5: Friday (F-F),1: Early AM (12am-6am),34,18,25.393,0.696
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,5: Friday (F-F),2: Peak AM (6am-10am),168,17,25.393,0.673
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,5: Friday (F-F),3: Mid-Day (10am-3pm),258,17,25.393,0.674
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,5: Friday (F-F),4: Peak PM (3pm-7pm),368,17,25.393,0.651
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,5: Friday (F-F),5: Late PM (7pm-12am),151,17,25.393,0.655
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,6: Saturday (Sa-Sa),0: All Day (12am-12am),634,17,25.393,0.662
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,6: Saturday (Sa-Sa),1: Early AM (12am-6am),41,17,25.393,0.671
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,6: Saturday (Sa-Sa),2: Peak AM (6am-10am),71,17,25.393,0.666
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,6: Saturday (Sa-Sa),3: Mid-Day (10am-3pm),205,17,25.393,0.667
