Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-06,4: Thursday (Th-Th),2: Peak AM (6am-10am),209,16,25.776,0.617,8.000,21.000,24.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-06,4: Thursday (Th-Th),3: Mid-Day (10am-3pm),957,14,25.776,0.547,9.000,19.000,21.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-06,4: Thursday (Th-Th),4: Peak PM (3pm-7pm),908,14,25.776,0.561,10.000,20.000,21.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-06,4: Thursday (Th-Th),5: Late PM (7pm-12am),464,15,25.776,0.572,8.000,20.000,22.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-06,5: Friday (F-F),0: All Day (12am-12am),2988,15,25.776,0.567,9.000,19.000,22.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-06,5: Friday (F-F),1: Early AM (12am-6am),64,16,25.776,0.636,6.000,21.000,24.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-06,5: Friday (F-F),2: Peak AM (6am-10am),166,17,25.776,0.674,11.000,20.000,24.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-06,5: Friday (F-F),3: Mid-Day (10am-3pm),1005,14,25.776,0.558,9.000,19.000,22.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-06,5: Friday (F-F),4: Peak PM (3pm-7pm),1001,15,25.776,0.563,10.000,19.000,22.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-06,5: Friday (F-F),5: Late PM (7pm-12am),752,14,25.776,0.555,9.000,19.000,21.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-06,6: Saturday (Sa-Sa),0: All Day (12am-12am),2338,14,25.776,0.555,9.000,19.000,22.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-06,6: Saturday (Sa-Sa),1: Early AM (12am-6am),110,14,25.776,0.557,6.000,21.000,24.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-06,6: Saturday (Sa-Sa),2: Peak AM (6am-10am),83,17,25.776,0.648,12.000,22.000,25.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-06,6: Saturday (Sa-Sa),3: Mid-Day (10am-3pm),879,14,25.776,0.552,10.000,19.000,21.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-06,6: Saturday (Sa-Sa),4: Peak PM (3pm-7pm),793,14,25.776,0.547,10.000,18.000,20.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-06,6: Saturday (Sa-Sa),5: Late PM (7pm-12am),472,14,25.776,0.557,8.000,20.000,23.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-06,7: Sunday (Su-Su),0: All Day (12am-12am),2390,14,25.776,0.532,9.000,18.000,21.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-06,7: Sunday (Su-Su),1: Early AM (12am-6am),90,14,25.776,0.543,7.000,21.000,26.000
