Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-01,3: Wednesday (W-W),4: Peak PM (3pm-7pm),217,21,4,26.794,0.793,4.76,0.05,11.000,13.000,28.000,32.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-01,3: Wednesday (W-W),5: Late PM (7pm-12am),78,22,4,26.794,0.828,1.72,0.01,8.000,14.000,30.000,33.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-01,4: Thursday (Th-Th),0: All Day (12am-12am),648,21,4,26.794,0.784,14.20,0.15,7.000,12.000,28.000,32.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-01,4: Thursday (Th-Th),1: Early AM (12am-6am),20,24,3,26.794,0.889,0.44,0.00,N/A,N/A,N/A,N/A
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-01,4: Thursday (Th-Th),2: Peak AM (6am-10am),99,21,4,26.794,0.792,2.18,0.02,6.000,12.000,30.000,34.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-01,4: Thursday (Th-Th),3: Mid-Day (10am-3pm),219,21,4,26.794,0.776,4.80,0.05,7.000,12.000,28.000,32.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-01,4: Thursday (Th-Th),4: Peak PM (3pm-7pm),235,21,4,26.794,0.797,5.16,0.05,10.000,14.000,28.000,32.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-01,4: Thursday (Th-Th),5: Late PM (7pm-12am),74,20,4,26.794,0.728,1.63,0.02,10.000,13.000,26.000,28.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-01,5: Friday (F-F),0: All Day (12am-12am),658,21,4,26.794,0.799,14.43,0.14,9.000,14.000,28.000,32.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-01,5: Friday (F-F),1: Early AM (12am-6am),18,24,3,26.794,0.893,0.40,0.00,N/A,N/A,N/A,N/A
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-01,5: Friday (F-F),2: Peak AM (6am-10am),80,22,4,26.794,0.807,1.75,0.02,8.000,14.000,30.000,31.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-01,5: Friday (F-F),3: Mid-Day (10am-3pm),230,21,4,26.794,0.780,5.03,0.05,8.000,13.000,28.000,32.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-01,5: Friday (F-F),4: Peak PM (3pm-7pm),230,22,4,26.794,0.819,5.03,0.04,11.000,14.000,28.000,32.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-01,5: Friday (F-F),5: Late PM (7pm-12am),101,21,4,26.794,0.773,2.22,0.02,9.000,14.000,26.000,29.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-01,6: Saturday (Sa-Sa),0: All Day (12am-12am),535,21,4,26.794,0.784,11.72,0.12,9.000,13.000,28.000,33.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-01,6: Saturday (Sa-Sa),1: Early AM (12am-6am),18,19,4,26.794,0.723,0.39,0.01,N/A,N/A,N/A,N/A
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-01,6: Saturday (Sa-Sa),2: Peak AM (6am-10am),49,21,4,26.794,0.772,1.08,0.01,10.000,13.000,29.000,32.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-01,6: Saturday (Sa-Sa),3: Mid-Day (10am-3pm),227,21,4,26.794,0.780,4.98,0.05,9.000,13.000,28.000,32.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-01,6: Saturday (Sa-Sa),4: Peak PM (3pm-7pm),159,22,4,26.794,0.809,3.49,0.03,10.000,13.000,29.000,38.000
