Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Romaine Street / 509102257 / 1,0.069,yes,270,yes,2022-01,3: Wednesday (W-W),3: Mid-Day (10am-3pm),467,16,15,19.357,0.829,32.18,0.34,5.000,21.000,25.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Romaine Street / 509102257 / 1,0.069,yes,270,yes,2022-01,3: Wednesday (W-W),4: Peak PM (3pm-7pm),559,15,16,19.357,0.798,38.59,0.51,6.000,20.000,23.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Romaine Street / 509102257 / 1,0.069,yes,270,yes,2022-01,3: Wednesday (W-W),5: Late PM (7pm-12am),272,15,17,19.357,0.755,18.78,0.32,4.000,20.000,23.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Romaine Street / 509102257 / 1,0.069,yes,270,yes,2022-01,4: Thursday (Th-Th),0: All Day (12am-12am),1708,15,16,19.357,0.779,117.83,1.73,6.000,20.000,23.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Romaine Street / 509102257 / 1,0.069,yes,270,yes,2022-01,4: Thursday (Th-Th),1: Early AM (12am-6am),71,17,15,19.357,0.879,4.92,0.03,7.000,23.000,27.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Romaine Street / 509102257 / 1,0.069,yes,270,yes,2022-01,4: Thursday (Th-Th),2: Peak AM (6am-10am),269,14,18,19.357,0.729,18.55,0.36,6.000,18.000,21.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Romaine Street / 509102257 / 1,0.069,yes,270,yes,2022-01,4: Thursday (Th-Th),3: Mid-Day (10am-3pm),518,15,17,19.357,0.764,35.73,0.57,6.000,19.000,23.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Romaine Street / 509102257 / 1,0.069,yes,270,yes,2022-01,4: Thursday (Th-Th),4: Peak PM (3pm-7pm),530,15,16,19.357,0.781,36.53,0.53,6.000,20.000,24.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Romaine Street / 509102257 / 1,0.069,yes,270,yes,2022-01,4: Thursday (Th-Th),5: Late PM (7pm-12am),320,16,16,19.357,0.817,22.10,0.26,6.000,20.000,23.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Romaine Street / 509102257 / 1,0.069,yes,270,yes,2022-01,5: Friday (F-F),0: All Day (12am-12am),1967,15,17,19.357,0.769,135.70,2.10,5.000,20.000,24.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Romaine Street / 509102257 / 1,0.069,yes,270,yes,2022-01,5: Friday (F-F),1: Early AM (12am-6am),70,16,15,19.357,0.845,4.81,0.05,7.000,18.000,21.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Romaine Street / 509102257 / 1,0.069,yes,270,yes,2022-01,5: Friday (F-F),2: Peak AM (6am-10am),213,16,16,19.357,0.818,14.66,0.17,3.000,21.000,25.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Romaine Street / 509102257 / 1,0.069,yes,270,yes,2022-01,5: Friday (F-F),3: Mid-Day (10am-3pm),629,14,17,19.357,0.736,43.40,0.80,4.000,20.000,24.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Romaine Street / 509102257 / 1,0.069,yes,270,yes,2022-01,5: Friday (F-F),4: Peak PM (3pm-7pm),606,15,17,19.357,0.760,41.80,0.68,5.000,20.000,23.000
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,Romaine Street / 509102257 / 1,0.069,yes,270,yes,2022-01,5: Friday (F-F),5: Late PM (7pm-12am),450,15,16,19.357,0.794,31.03,0.42,7.000,20.000,24.000
