Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2020-06,3: Wednesday (W-W),2: Peak AM (6am-10am),183,20,9,26.408,0.756,9.21,0.11,8.000,15.000,22.000,25.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2020-06,3: Wednesday (W-W),3: Mid-Day (10am-3pm),361,19,9,26.408,0.736,18.17,0.25,14.000,16.000,22.000,26.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2020-06,3: Wednesday (W-W),4: Peak PM (3pm-7pm),407,19,10,26.408,0.712,20.47,0.31,10.000,14.000,23.000,28.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2020-06,3: Wednesday (W-W),5: Late PM (7pm-12am),143,17,11,26.408,0.639,7.17,0.15,14.000,16.000,21.000,22.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2020-06,4: Thursday (Th-Th),0: All Day (12am-12am),1105,19,10,26.408,0.711,55.53,0.86,10.000,14.000,22.000,25.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2020-06,4: Thursday (Th-Th),1: Early AM (12am-6am),10,N/A,N/A,N/A,N/A,0.51,N/A,N/A,N/A,N/A,N/A
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2020-06,4: Thursday (Th-Th),2: Peak AM (6am-10am),234,19,9,26.408,0.723,11.77,0.17,15.000,16.000,23.000,25.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2020-06,4: Thursday (Th-Th),3: Mid-Day (10am-3pm),377,19,10,26.408,0.711,18.94,0.29,10.000,14.000,22.000,26.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2020-06,4: Thursday (Th-Th),4: Peak PM (3pm-7pm),310,19,10,26.408,0.709,15.61,0.24,12.000,15.000,21.000,24.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2020-06,4: Thursday (Th-Th),5: Late PM (7pm-12am),173,18,10,26.408,0.697,8.70,0.14,12.000,14.000,20.000,22.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2020-06,5: Friday (F-F),0: All Day (12am-12am),1374,19,10,26.408,0.716,69.09,1.04,9.000,15.000,23.000,26.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2020-06,5: Friday (F-F),1: Early AM (12am-6am),25,21,9,26.408,0.803,1.28,0.01,N/A,N/A,N/A,N/A
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2020-06,5: Friday (F-F),2: Peak AM (6am-10am),244,21,9,26.408,0.782,12.28,0.13,15.000,18.000,25.000,27.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2020-06,5: Friday (F-F),3: Mid-Day (10am-3pm),412,18,10,26.408,0.686,20.73,0.36,5.000,14.000,23.000,27.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2020-06,5: Friday (F-F),4: Peak PM (3pm-7pm),499,19,9,26.408,0.722,25.08,0.37,8.000,15.000,23.000,27.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2020-06,5: Friday (F-F),5: Late PM (7pm-12am),193,18,10,26.408,0.672,9.72,0.18,11.000,16.000,21.000,21.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2020-06,6: Saturday (Sa-Sa),0: All Day (12am-12am),706,18,10,26.408,0.676,35.49,0.64,8.000,13.000,23.000,25.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2020-06,6: Saturday (Sa-Sa),1: Early AM (12am-6am),17,16,11,26.408,0.615,0.87,0.02,N/A,N/A,N/A,N/A
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2020-06,6: Saturday (Sa-Sa),2: Peak AM (6am-10am),83,19,9,26.408,0.738,4.18,0.06,7.000,17.000,23.000,24.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2020-06,6: Saturday (Sa-Sa),3: Mid-Day (10am-3pm),225,19,10,26.408,0.709,11.31,0.18,12.000,15.000,24.000,26.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2020-06,6: Saturday (Sa-Sa),4: Peak PM (3pm-7pm),208,17,11,26.408,0.644,10.44,0.22,7.000,11.000,21.000,26.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2020-06,6: Saturday (Sa-Sa),5: Late PM (7pm-12am),173,17,11,26.408,0.648,8.70,0.18,8.000,13.000,21.000,23.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2020-06,7: Sunday (Su-Su),0: All Day (12am-12am),543,18,10,26.408,0.695,27.32,0.45,13.000,16.000,22.000,24.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2020-06,7: Sunday (Su-Su),1: Early AM (12am-6am),17,19,10,26.408,0.720,0.87,0.01,N/A,N/A,N/A,N/A
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2020-06,7: Sunday (Su-Su),2: Peak AM (6am-10am),24,19,10,26.408,0.702,1.22,0.02,N/A,N/A,N/A,N/A
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2020-06,7: Sunday (Su-Su),3: Mid-Day (10am-3pm),204,18,10,26.408,0.680,10.27,0.18,11.000,15.000,21.000,24.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2020-06,7: Sunday (Su-Su),4: Peak PM (3pm-7pm),194,19,10,26.408,0.701,9.74,0.16,13.000,16.000,22.000,23.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2020-06,7: Sunday (Su-Su),5: Late PM (7pm-12am),104,19,10,26.408,0.710,5.22,0.08,16.000,17.000,22.000,25.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 5,0.052,yes,0,yes,2020-06,0: All Days (M-Su),0: All Day (12am-12am),935,17,11,20.620,0.820,48.53,0.52,10.000,13.000,21.000,24.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 5,0.052,yes,0,yes,2020-06,0: All Days (M-Su),1: Early AM (12am-6am),20,16,12,20.620,0.770,1.05,0.02,4.000,4.000,22.000,22.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 5,0.052,yes,0,yes,2020-06,0: All Days (M-Su),2: Peak AM (6am-10am),166,17,11,20.620,0.820,8.62,0.09,11.000,14.000,21.000,24.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 5,0.052,yes,0,yes,2020-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),318,17,11,20.620,0.823,16.51,0.17,10.000,13.000,21.000,25.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 5,0.052,yes,0,yes,2020-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),295,17,11,20.620,0.834,15.32,0.15,10.000,13.000,21.000,25.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 5,0.052,yes,0,yes,2020-06,0: All Days (M-Su),5: Late PM (7pm-12am),135,16,11,20.620,0.790,7.03,0.09,10.000,12.000,21.000,22.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 5,0.052,yes,0,yes,2020-06,1: Monday (M-M),0: All Day (12am-12am),1046,17,11,20.620,0.828,54.30,0.55,10.000,13.000,21.000,24.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 5,0.052,yes,0,yes,2020-06,1: Monday (M-M),1: Early AM (12am-6am),33,20,9,20.620,0.958,1.71,0.00,N/A,N/A,N/A,N/A
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 5,0.052,yes,0,yes,2020-06,1: Monday (M-M),2: Peak AM (6am-10am),226,17,11,20.620,0.830,11.76,0.12,13.000,14.000,22.000,24.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 5,0.052,yes,0,yes,2020-06,1: Monday (M-M),3: Mid-Day (10am-3pm),342,17,11,20.620,0.829,17.74,0.18,10.000,13.000,21.000,25.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 5,0.052,yes,0,yes,2020-06,1: Monday (M-M),4: Peak PM (3pm-7pm),313,17,11,20.620,0.821,16.25,0.17,9.000,13.000,20.000,23.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 5,0.052,yes,0,yes,2020-06,1: Monday (M-M),5: Late PM (7pm-12am),132,17,11,20.620,0.805,6.84,0.08,7.000,12.000,21.000,23.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 5,0.052,yes,0,yes,2020-06,2: Tuesday (Tu-Tu),0: All Day (12am-12am),927,17,11,20.620,0.806,48.10,0.56,9.000,13.000,21.000,24.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 5,0.052,yes,0,yes,2020-06,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),12,N/A,N/A,N/A,N/A,0.64,N/A,N/A,N/A,N/A,N/A
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 5,0.052,yes,0,yes,2020-06,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),181,16,11,20.620,0.797,9.41,0.12,5.000,14.000,21.000,26.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 5,0.052,yes,0,yes,2020-06,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),334,16,11,20.620,0.791,17.32,0.22,6.000,12.000,21.000,23.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 5,0.052,yes,0,yes,2020-06,2: Tuesday (Tu-Tu),4: Peak PM (3pm-7pm),296,17,11,20.620,0.837,15.39,0.15,11.000,13.000,21.000,24.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 5,0.052,yes,0,yes,2020-06,2: Tuesday (Tu-Tu),5: Late PM (7pm-12am),103,16,11,20.620,0.797,5.34,0.07,11.000,13.000,19.000,21.000
